legacy_path,canonical_path,legacy_url,canonical_url
"/blog/05-install-mongodb-ubuntu-20.04","/blog/05-install-mongodb-ubuntu-2004/","https://francgs.dev/blog/05-install-mongodb-ubuntu-20.04","https://francgs.dev/blog/05-install-mongodb-ubuntu-2004/"
"/blog/06-Cannot-find-name-describe-Do-you-need-to-install-type-definitions-for-a-test-runner","/blog/06-cannot-find-name-describe-do-you-need-to-install-type-definitions-for-a-test-runner/","https://francgs.dev/blog/06-Cannot-find-name-describe-Do-you-need-to-install-type-definitions-for-a-test-runner","https://francgs.dev/blog/06-cannot-find-name-describe-do-you-need-to-install-type-definitions-for-a-test-runner/"
"/blog/07-Solving-Docker-Permission-Issues-in-Node.js-Projects-A-Guide-to-Overcoming-EACCES-Errors-in-Volumes","/blog/07-solving-docker-permission-issues-in-nodejs-projects-a-guide-to-overcoming-eacces-errors-in-volumes/","https://francgs.dev/blog/07-Solving-Docker-Permission-Issues-in-Node.js-Projects-A-Guide-to-Overcoming-EACCES-Errors-in-Volumes","https://francgs.dev/blog/07-solving-docker-permission-issues-in-nodejs-projects-a-guide-to-overcoming-eacces-errors-in-volumes/"
"/blog/08-Easily-accessing-the-project-root-directory-from-any-file-in-Typescript-and-Javascript","/blog/08-easily-accessing-the-project-root-directory-from-any-file-in-typescript-and-javascript/","https://francgs.dev/blog/08-Easily-accessing-the-project-root-directory-from-any-file-in-Typescript-and-Javascript","https://francgs.dev/blog/08-easily-accessing-the-project-root-directory-from-any-file-in-typescript-and-javascript/"
"/blog/09-Install-laravel-ubuntu-20.04","/blog/09-install-laravel-ubuntu-2004/","https://francgs.dev/blog/09-Install-laravel-ubuntu-20.04","https://francgs.dev/blog/09-install-laravel-ubuntu-2004/"
"/blog/11-How-to-setup-multiple-git-accounts-with-SSH","/blog/11-how-to-setup-multiple-git-accounts-with-ssh/","https://francgs.dev/blog/11-How-to-setup-multiple-git-accounts-with-SSH","https://francgs.dev/blog/11-how-to-setup-multiple-git-accounts-with-ssh/"
"/blog/12-How-to-add-multiple-git-remotes-repositories-to-my-code","/blog/12-how-to-add-multiple-git-remotes-repositories-to-my-code/","https://francgs.dev/blog/12-How-to-add-multiple-git-remotes-repositories-to-my-code","https://francgs.dev/blog/12-how-to-add-multiple-git-remotes-repositories-to-my-code/"
"/blog/13-Syncing-and-signing-commits-for-different-REMOTES-and-different-GIT-accounts-using-HOOKS-from-a-single-local-repository","/blog/13-syncing-and-signing-commits-for-different-remotes-and-different-git-accounts-using-hooks-from-a-single-local-repository/","https://francgs.dev/blog/13-Syncing-and-signing-commits-for-different-REMOTES-and-different-GIT-accounts-using-HOOKS-from-a-single-local-repository","https://francgs.dev/blog/13-syncing-and-signing-commits-for-different-remotes-and-different-git-accounts-using-hooks-from-a-single-local-repository/"
"/blog/14-Google-Maps-Autocomplete-Limitation-Tutorial","/blog/14-google-maps-autocomplete-limitation-tutorial/","https://francgs.dev/blog/14-Google-Maps-Autocomplete-Limitation-Tutorial","https://francgs.dev/blog/14-google-maps-autocomplete-limitation-tutorial/"
"/blog/16-Optimizing-disk-space-on-LINUX-and-program-to-run-ONE-TIME-a-MONTH","/blog/16-optimizing-disk-space-on-linux-and-program-to-run-one-time-a-month/","https://francgs.dev/blog/16-Optimizing-disk-space-on-LINUX-and-program-to-run-ONE-TIME-a-MONTH","https://francgs.dev/blog/16-optimizing-disk-space-on-linux-and-program-to-run-one-time-a-month/"
"/blog/17-setting-default-audio-device-at-session-start-on-ubuntu-22.04","/blog/17-setting-default-audio-device-at-session-start-on-ubuntu-2204/","https://francgs.dev/blog/17-setting-default-audio-device-at-session-start-on-ubuntu-22.04","https://francgs.dev/blog/17-setting-default-audio-device-at-session-start-on-ubuntu-2204/"
"/blog/18-solution-ethernet-speed-limitation-on-ubuntu-22.04","/blog/18-solution-ethernet-speed-limitation-on-ubuntu-2204/","https://francgs.dev/blog/18-solution-ethernet-speed-limitation-on-ubuntu-22.04","https://francgs.dev/blog/18-solution-ethernet-speed-limitation-on-ubuntu-2204/"
"/blog/19-razer-device-configuration-ubuntu-22.04","/blog/19-razer-device-configuration-ubuntu-2204/","https://francgs.dev/blog/19-razer-device-configuration-ubuntu-22.04","https://francgs.dev/blog/19-razer-device-configuration-ubuntu-2204/"
"/blog/21-how-to-install-cursor-ai-on-ubuntu-24.04","/blog/21-how-to-install-cursor-ai-on-ubuntu-2404/","https://francgs.dev/blog/21-how-to-install-cursor-ai-on-ubuntu-24.04","https://francgs.dev/blog/21-how-to-install-cursor-ai-on-ubuntu-2404/"
"/blog/23-custom-terminal-setup-kitty-ranger-on-ubuntu-24.04","/blog/23-custom-terminal-setup-kitty-ranger-on-ubuntu-2404/","https://francgs.dev/blog/23-custom-terminal-setup-kitty-ranger-on-ubuntu-24.04","https://francgs.dev/blog/23-custom-terminal-setup-kitty-ranger-on-ubuntu-2404/"
